motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,count,proportion
0.12,80.0,prior,-150.0,-135.0,-142.5,232,0.020018983518854085
0.12,80.0,prior,-135.0,-120.0,-127.5,265,0.02286651134696695
0.12,80.0,prior,-120.0,-105.0,-112.5,377,0.03253084821813789
0.12,80.0,prior,-105.0,-90.0,-97.5,461,0.03977910087151609
0.12,80.0,prior,-90.0,-75.0,-82.5,544,0.04694106480283027
0.12,80.0,prior,-75.0,-60.0,-67.5,551,0.04754508585727845
0.12,80.0,prior,-60.0,-45.0,-52.5,476,0.04107343170247649
0.12,80.0,prior,-45.0,-30.0,-37.5,471,0.040641988092156356
0.12,80.0,prior,-30.0,-15.0,-22.5,763,0.06583829493485202
0.12,80.0,prior,-15.0,0.0,-7.5,1268,0.10941409957718526
0.12,80.0,prior,0.0,15.0,7.5,1055,0.09103460177754767
0.12,80.0,prior,15.0,30.0,22.5,720,0.062127879886098886
