model,motion_coherence,prior_std,reference,bin_left_deg,bin_right_deg,bin_center_deg,observed,simulated_mean,simulated_ci_low,simulated_ci_high,n_simulations
HMM_static,0.0599999999999999,80,prior,135,150,142.5,0.0176165803108808,0.015947352615984,0.013815482525828,0.0180264263659371,100
HMM_static,0.0599999999999999,80,prior,150,165,157.5,0.0190414507772019,0.0143050538259865,0.0127799014500429,0.0160470231320332,100
HMM_static,0.0599999999999999,80,prior,165,180,172.5,0.0193652849740931,0.0133925397356081,0.0113356733686104,0.0155638340690979,100
HMM_static,0.0599999999999999,80,stimulus,-180,-165,-172.5,0.0112046632124352,0.0095250887754037,0.0083003670600361,0.010859099504821,100
HMM_static,0.0599999999999999,80,stimulus,-165,-150,-157.5,0.0095207253886009,0.0102869677071818,0.0085523526184738,0.0116758604804429,100
HMM_static,0.0599999999999999,80,stimulus,-150,-135,-142.5,0.0112046632124352,0.0121245161293866,0.0103449100064632,0.0142148442747815,100
HMM_static,0.0599999999999999,80,stimulus,-135,-120,-127.5,0.0132124352331606,0.0152168975956223,0.0137800743802956,0.0171080420749833,100
HMM_static,0.0599999999999999,80,stimulus,-120,-105,-112.5,0.01360103626943,0.0195908721202507,0.0178216347051166,0.0221180088754996,100
HMM_static,0.0599999999999999,80,stimulus,-105,-90,-97.5,0.0189766839378237,0.0255420600906914,0.0231340648980194,0.0277927273495537,100
HMM_static,0.0599999999999999,80,stimulus,-90,-75,-82.5,0.030440414507772,0.0341605602597057,0.0313393103273226,0.0371036808921619,100
HMM_static,0.0599999999999999,80,stimulus,-75,-60,-67.5,0.035362694300518,0.0460473902958742,0.0433136241670665,0.0490347580119252,100
HMM_static,0.0599999999999999,80,stimulus,-60,-45,-52.5,0.0545984455958549,0.0608228943737943,0.0573480082935326,0.0648418058351458,100
HMM_static,0.0599999999999999,80,stimulus,-45,-30,-37.5,0.0730569948186527,0.0761188739026704,0.0723237333519345,0.0801972908179038,100
HMM_static,0.0599999999999999,80,stimulus,-30,-15,-22.5,0.0986398963730568,0.0902658618245652,0.0866048476817457,0.0951550993826178,100
HMM_static,0.0599999999999999,80,stimulus,-15,0,-7.5,0.116321243523316,0.0989872394673178,0.0940665651497444,0.1034907214380376,100
HMM_static,0.0599999999999999,80,stimulus,0,15,7.5,0.1212435233160621,0.0990660983336223,0.0945657476714431,0.1036224379253301,100
HMM_static,0.0599999999999999,80,stimulus,15,30,22.5,0.0990932642487045,0.0906903419999982,0.0862353298183013,0.0956492280036728,100
HMM_static,0.0599999999999999,80,stimulus,30,45,37.5,0.0766191709844559,0.0764997966515797,0.0719126098336658,0.0803916727211245,100
HMM_static,0.0599999999999999,80,stimulus,45,60,52.5,0.0523316062176164,0.060433184186129,0.0570303695469627,0.0636440466554168,100
HMM_static,0.0599999999999999,80,stimulus,60,75,67.5,0.0412564766839378,0.0463165137864049,0.0423649674150927,0.0500214265119984,100
HMM_static,0.0599999999999999,80,stimulus,75,90,82.5,0.0293393782383419,0.0342858998309254,0.031490571146372,0.036923141620541,100
HMM_static,0.0599999999999999,80,stimulus,90,105,97.5,0.0235751295336786,0.0259715373227655,0.0238765782370923,0.0282373328558541,100
HMM_static,0.0599999999999999,80,stimulus,105,120,112.5,0.0175518134715025,0.0198558386913322,0.0180084591263403,0.0221256170462862,100
HMM_static,0.0599999999999999,80,stimulus,120,135,127.5,0.0168393782383419,0.0155063181271245,0.0134268640918978,0.0176143717277299,100
HMM_static,0.0599999999999999,80,stimulus,135,150,142.5,0.0125,0.0125916799266445,0.0108982023472722,0.0140659346688183,100
HMM_static,0.0599999999999999,80,stimulus,150,165,157.5,0.0110103626943005,0.0105384009143565,0.0090306820656544,0.0122759642061498,100
HMM_static,0.0599999999999999,80,stimulus,165,180,172.5,0.0125,0.0095551676866497,0.0084821764821406,0.0108697822990783,100
HMM_static,0.12,10,prior,-180,-165,-172.5,0.0,0.0,0.0,0.0,100
HMM_static,0.12,10,prior,-165,-150,-157.5,0.0,0.0,0.0,0.0,100
HMM_static,0.12,10,prior,-150,-135,-142.5,0.0,0.0,0.0,0.0,100
HMM_static,0.12,10,prior,-135,-120,-127.5,0.0,0.0,0.0,0.0,100
HMM_static,0.12,10,prior,-120,-105,-112.5,0.000184331797235,6.2370030053166e-05,0.0,0.000288492883342,100
HMM_static,0.12,10,prior,-105,-90,-97.5,0.00073732718894,0.0006977273357133,8.925216084178251e-05,0.0015144092490062,100
HMM_static,0.12,10,prior,-90,-75,-82.5,0.0014746543778801,0.0029622049745274,0.0016945802276903,0.0046341630183748,100
HMM_static,0.12,10,prior,-75,-60,-67.5,0.0038709677419354,0.0092602700453938,0.0069097624571185,0.0114153439344831,100
HMM_static,0.12,10,prior,-60,-45,-52.5,0.0071889400921657,0.0250890326298784,0.0208112463706346,0.0294528199944226,100
HMM_static,0.12,10,prior,-45,-30,-37.5,0.0282027649769584,0.0565437054461951,0.0500082305095458,0.0636287883773053,100
